codicefiscale,dataora,cfcliente,cfmembro,saldoiniziale,saldofinale
815-91-3551,22/10/2020,815-91-3551,815-91-3551,14,60
794-98-2498,4/9/2021,794-98-2498,794-98-2498,59,19
670-92-3641,25/12/2020,670-92-3641,670-92-3641,40,1
673-76-5238,29/4/2020,673-76-5238,673-76-5238,1,20
305-37-4392,28/12/2021,305-37-4392,305-37-4392,46,45
549-04-1243,27/2/2021,549-04-1243,549-04-1243,6,22
599-27-5014,29/7/2020,599-27-5014,599-27-5014,4,46
286-77-5133,3/2/2021,286-77-5133,286-77-5133,39,56
684-98-2101,16/12/2020,684-98-2101,684-98-2101,16,45
550-22-2523,22/9/2020,550-22-2523,550-22-2523,20,6
845-12-7389,28/10/2020,845-12-7389,845-12-7389,60,2
723-34-0361,25/10/2020,723-34-0361,723-34-0361,48,23
798-16-0847,20/3/2021,798-16-0847,798-16-0847,58,57
176-24-3674,19/5/2021,176-24-3674,176-24-3674,35,35
413-54-5603,21/1/2021,413-54-5603,413-54-5603,6,50
391-36-8064,22/11/2021,391-36-8064,391-36-8064,21,37
574-68-1313,15/6/2022,574-68-1313,574-68-1313,50,45
406-10-2238,14/1/2022,406-10-2238,406-10-2238,31,36
241-49-4556,14/5/2022,241-49-4556,241-49-4556,13,8
190-35-1710,17/7/2022,190-35-1710,190-35-1710,54,29
198-30-8087,4/7/2020,198-30-8087,198-30-8087,9,54
721-96-5052,17/4/2022,721-96-5052,721-96-5052,23,58
206-25-3136,12/9/2020,206-25-3136,206-25-3136,16,60
382-81-3047,4/6/2022,382-81-3047,382-81-3047,30,36
700-76-7626,3/9/2021,700-76-7626,700-76-7626,41,10
356-88-5300,11/12/2021,356-88-5300,356-88-5300,37,7
152-89-8565,9/6/2020,152-89-8565,152-89-8565,16,39
277-79-8525,28/12/2021,277-79-8525,277-79-8525,45,58
553-44-1861,26/11/2021,553-44-1861,553-44-1861,57,39
210-65-1036,4/11/2020,210-65-1036,210-65-1036,32,59
561-74-9308,26/7/2021,561-74-9308,561-74-9308,48,15
419-24-3253,29/10/2020,419-24-3253,419-24-3253,60,40
286-32-7633,5/2/2022,286-32-7633,286-32-7633,55,48
246-37-9688,22/3/2020,246-37-9688,246-37-9688,6,11
732-36-9004,10/6/2022,732-36-9004,732-36-9004,40,28
569-74-4170,13/1/2022,569-74-4170,569-74-4170,39,57
118-84-2246,2/1/2021,118-84-2246,118-84-2246,45,13
258-86-2540,25/6/2020,258-86-2540,258-86-2540,31,13
622-33-9001,21/4/2021,622-33-9001,622-33-9001,13,8
338-01-3387,19/12/2020,338-01-3387,338-01-3387,49,1
735-51-4274,26/4/2020,735-51-4274,735-51-4274,10,48
350-18-9287,14/10/2021,350-18-9287,350-18-9287,45,32
675-31-8177,10/4/2021,675-31-8177,675-31-8177,43,49
