codicefiscale,codicetessera,ente,saldo,puntimensili,datainaut
815-91-3551,1000,hlpheumjxhw,21,37,13/11/2021
794-98-2498,2000,tobrdomyouk,53,42,4/6/2021
670-92-3641,3000,kblwkggxnum,43,55,13/12/2021
673-76-5238,4000,ydwjnhukxhb,51,47,20/4/2020
305-37-4392,5000,bhtwyvhngrq,32,45,19/2/2021
549-04-1243,6000,ovoxwvjqagv,48,42,5/8/2020
599-27-5014,7000,ylgkcyxxuvg,20,31,13/6/2021
286-77-5133,8000,miazjbxrgxh,52,31,11/7/2022
684-98-2101,9000,krrhajgzauj,6,35,13/9/2021
550-22-2523,10000,ezocanswehm,41,52,22/4/2022
845-12-7389,11000,tsubihwhngr,51,52,9/5/2022
723-34-0361,12000,falmefkjdyi,43,38,7/5/2021
798-16-0847,13000,sahjxiyeays,9,37,9/9/2020
176-24-3674,14000,oqgkjacoahf,31,51,3/5/2020
413-54-5603,15000,gmekqszfeek,16,51,30/5/2020
391-36-8064,16000,rlrpseudplj,36,40,20/1/2022
574-68-1313,17000,yokfzulxnfr,32,51,9/8/2020
406-10-2238,18000,tlkjmkmrhjy,12,36,18/5/2022
241-49-4556,19000,vkucxjxsqol,46,32,24/8/2020
190-35-1710,20000,gmvipriadhl,23,34,28/6/2020
198-30-8087,21000,hfzassjbgkz,1,47,31/3/2020
721-96-5052,22000,fpajjfaaxvw,3,35,30/1/2022
206-25-3136,23000,ifeuubvpdbi,32,30,10/4/2022
382-81-3047,24000,mwsfgzpekdq,49,36,4/4/2020
700-76-7626,25000,xwkdufuljmb,57,49,30/6/2020
356-88-5300,26000,dansfyuvswz,43,42,25/11/2021
152-89-8565,27000,iomqdqnvety,51,41,30/3/2020
277-79-8525,28000,nptwnrczbgk,51,58,21/8/2021
553-44-1861,29000,wzuhkbmjlpd,55,54,3/12/2021
210-65-1036,30000,gxpwcskbhms,27,48,9/1/2022
561-74-9308,31000,xtmqtoccmxi,41,44,15/9/2021
419-24-3253,32000,qvqcjcroqqx,8,42,2/3/2022
286-32-7633,33000,jkyiosnywwl,3,39,8/2/2022
246-37-9688,34000,kgjidnspffs,31,58,22/6/2020
732-36-9004,35000,eziiyyqrpsy,52,56,11/9/2021
569-74-4170,36000,bzqfnbxpndt,19,48,22/4/2020
118-84-2246,37000,bevfvtdhkrc,52,36,20/12/2021
258-86-2540,38000,jtbbiceydys,44,54,28/2/2022
622-33-9001,39000,rahssnzwpxp,33,32,24/4/2022
338-01-3387,40000,gjakvkycemt,15,47,25/8/2020
735-51-4274,41000,vhtheusbiby,44,37,19/8/2021
350-18-9287,42000,cupjwpdvnyd,32,49,14/6/2021
675-31-8177,43000,zbifhiveqkm,53,46,3/1/2022
495-43-6967,44000,wzfevimakne,16,44,19/1/2022
711-63-0503,45000,nalyajulywu,41,32,27/3/2020
329-25-7239,46000,ictivamvoam,49,35,22/8/2021
815-20-4120,47000,gqzgrahnmfx,16,52,16/10/2021
881-44-8050,48000,tmbrxenvkms,53,47,28/7/2020
751-62-5360,49000,eviucbtlvoq,45,55,23/8/2020
343-99-3304,50000,srqgcahhkth,16,56,13/6/2021
810-12-6306,51000,nukkljwwdns,27,45,4/3/2022
491-98-0175,52000,kiywfwxibzd,6,47,2/4/2021
309-55-8123,53000,wbpcjlcphxd,28,55,17/2/2022
877-20-7424,54000,nebzgapoean,44,45,25/5/2021
784-24-8313,55000,wxqanoqhjuh,23,59,2/10/2021
534-74-1640,56000,vejypeyhfwo,30,56,17/4/2021
433-56-1685,57000,obilqgnzxhl,55,58,12/12/2021
889-52-1120,58000,zblqoadbtyp,23,33,22/5/2021
599-98-8480,59000,lrllububsrj,4,50,9/4/2021
131-01-6723,60000,mbffozrfxzg,56,35,19/7/2022
