codicefiscale,codicetessera,ente,saldo,puntimensili,datainaut
815-91-3551,1000,ruovoudpjzs,44,59,24/12/2021
794-98-2498,2000,xfmjryxldvl,49,37,26/9/2021
670-92-3641,3000,itqurgobtpi,11,59,9/2/2022
673-76-5238,4000,ckyvrroamvz,47,30,19/11/2020
305-37-4392,5000,iglmomnnxfd,38,58,1/9/2020
549-04-1243,6000,ozenhrudnnv,44,33,19/1/2022
599-27-5014,7000,drvaloegokf,8,54,15/4/2020
286-77-5133,8000,ytqmkbiymix,1,33,16/7/2021
684-98-2101,9000,tewhtpwznxw,60,50,22/4/2020
550-22-2523,10000,jyxzkfwxokm,21,33,3/2/2020
845-12-7389,11000,wofoveqjnud,21,41,12/6/2022
723-34-0361,12000,rfdpwfornaw,52,48,22/5/2020
798-16-0847,13000,aznqjyjiinw,24,32,30/10/2021
176-24-3674,14000,djvactzygxp,33,33,4/1/2021
413-54-5603,15000,lxgxygybjkp,15,37,3/7/2022
391-36-8064,16000,dmtpxirkkex,42,46,23/4/2021
574-68-1313,17000,xwbzfglzdds,37,30,12/7/2021
406-10-2238,18000,lmqrcselfbz,58,51,29/1/2022
241-49-4556,19000,onrkgtjaxck,32,33,2/3/2022
190-35-1710,20000,rhspjlbzfjt,52,39,5/7/2020
198-30-8087,21000,mmjsfkisxrm,21,58,23/6/2020
721-96-5052,22000,luelwdmyqcn,54,42,22/7/2020
206-25-3136,23000,plniinonpsg,10,56,18/10/2021
382-81-3047,24000,terqhcvkvgx,5,41,9/2/2021
700-76-7626,25000,prsvmcspivh,27,38,4/10/2020
356-88-5300,26000,uqoqsizrssl,14,52,21/7/2022
152-89-8565,27000,zxxiboxpdsd,2,47,13/3/2022
277-79-8525,28000,zninirxfkzk,24,31,24/11/2020
553-44-1861,29000,knxefutehhh,43,42,3/4/2021
210-65-1036,30000,bvsiwxxuwba,20,57,10/11/2020
561-74-9308,31000,aofphltacpu,51,44,21/6/2022
419-24-3253,32000,xmgoapxfuoo,58,57,16/2/2020
286-32-7633,33000,gwsardtiqzj,53,38,28/7/2020
246-37-9688,34000,kxdywlglebh,29,41,12/10/2021
732-36-9004,35000,tzohbkeykjz,17,33,29/1/2022
569-74-4170,36000,qyjruntzbqi,9,53,4/9/2021
118-84-2246,37000,gogwjsmdxcl,20,38,27/10/2021
258-86-2540,38000,vylbwoeauec,18,38,6/1/2022
622-33-9001,39000,ihewbuxoffs,22,32,16/8/2021
338-01-3387,40000,klrpjnewfrw,17,30,20/9/2020
735-51-4274,41000,ryneegfooqi,34,43,20/1/2021
350-18-9287,42000,ipqeerqxetl,6,36,1/11/2021
675-31-8177,43000,skhkypeijhe,48,38,27/3/2020
495-43-6967,44000,gzqkljzxbvc,59,49,24/7/2020
711-63-0503,45000,urtpqfgctat,44,50,4/5/2020
329-25-7239,46000,kjunlyaedjf,54,31,4/5/2021
815-20-4120,47000,jalgiegzixm,59,47,15/6/2022
881-44-8050,48000,fwsgebjvtxi,18,43,9/11/2020
751-62-5360,49000,ojvufjevfnd,13,59,8/2/2022
343-99-3304,50000,sczvlflfioc,50,56,25/3/2021
810-12-6306,51000,ynlgcpyvdih,23,43,17/11/2021
491-98-0175,52000,blutenkyjod,5,45,2/3/2020
309-55-8123,53000,brpaesnfglp,58,48,20/5/2021
877-20-7424,54000,dyyuynrtqhl,21,47,16/3/2020
784-24-8313,55000,zdaygqtanyx,4,43,31/1/2022
534-74-1640,56000,vlqkwabfurf,44,54,16/11/2021
433-56-1685,57000,dhaxflstuiq,35,35,23/3/2021
889-52-1120,58000,hxnubogqguy,32,30,21/12/2020
599-98-8480,59000,fzpuznmrwbg,15,40,4/9/2021
131-01-6723,60000,vlwbijqfpxj,27,46,14/11/2021
