codicefiscale,dataora,nome,scadenza,quantita
815-91-3551,22/10/2020,Cheese - Marble,1/4/2021,40
794-98-2498,4/9/2021,Greens Mustard,26/8/2021,80
670-92-3641,25/12/2020,Sea Bass - Fillets,18/2/2022,75
673-76-5238,29/4/2020,Capon - Whole,28/1/2021,17
305-37-4392,28/12/2021,Sambuca - Ramazzotti,24/6/2021,31
549-04-1243,27/2/2021,Muffin - Carrot Individual Wr,24/6/2021,3
599-27-5014,29/7/2020,Peas Snow,2/2/2021,95
286-77-5133,3/2/2021,"Nut - Peanut, Roasted",23/6/2021,52
684-98-2101,16/12/2020,Sprouts - Onion,15/1/2021,87
550-22-2523,22/9/2020,Bagel - Sesame Seed Presliced,30/10/2022,99
845-12-7389,28/10/2020,Quail Eggs - Canned,30/5/2022,24
723-34-0361,25/10/2020,Lamb - Rack,16/8/2021,52
798-16-0847,20/3/2021,Lamb - Rack,22/11/2021,7
176-24-3674,19/5/2021,Maple Syrup,23/8/2022,79
413-54-5603,21/1/2021,Steamers White,27/7/2021,86
391-36-8064,22/11/2021,"Beef - Ground, Extra Lean, Fr",5/9/2021,100
574-68-1313,15/6/2022,Ecolab Digiclean Mild Fm,29/12/2021,14
406-10-2238,14/1/2022,Duck - Fat,12/1/2022,99
241-49-4556,14/5/2022,"Wine - Red, Cabernet Merlot",11/7/2021,65
190-35-1710,17/7/2022,Vaccum Bag 10x13,7/9/2022,35
198-30-8087,4/7/2020,Broccoli - Fresh,5/3/2022,95
721-96-5052,17/4/2022,Lettuce - Lambs Mash,1/8/2021,6
206-25-3136,12/9/2020,Beef - Top Butt,13/9/2022,22
382-81-3047,4/6/2022,Tarts Assorted,15/3/2021,10
700-76-7626,3/9/2021,Cheese - Grie Des Champ,30/8/2021,9
356-88-5300,11/12/2021,Vodka - Smirnoff,18/10/2022,60
152-89-8565,9/6/2020,Cup Translucent 9 Oz,21/5/2021,69
277-79-8525,28/12/2021,Muffin Orange Individual,1/11/2021,18
553-44-1861,26/11/2021,Cake - Lemon Chiffon,2/10/2021,20
210-65-1036,4/11/2020,Smoked Tongue,20/5/2022,2
561-74-9308,26/7/2021,Tuna - Loin,30/12/2020,98
419-24-3253,29/10/2020,"Syrup - Monin, Swiss Choclate",10/2/2021,91
286-32-7633,5/2/2022,Pork - Hock And Feet Attached,15/9/2021,93
246-37-9688,22/3/2020,Soup - Campbells Pasta Fagiol,8/6/2022,8
732-36-9004,10/6/2022,Lettuce Romaine Chopped,22/2/2022,94
569-74-4170,13/1/2022,Rambutan,18/12/2020,41
118-84-2246,2/1/2021,Kiwi Gold Zespri,26/8/2022,20
258-86-2540,25/6/2020,Rice - Basmati,6/1/2022,48
622-33-9001,21/4/2021,Beef - Rib Eye Aaa,27/7/2022,32
338-01-3387,19/12/2020,Raspberries - Frozen,30/9/2022,82
735-51-4274,26/4/2020,"Mushroom - Chantrelle, Fresh",20/9/2021,75
350-18-9287,14/10/2021,"Beef - Ox Tail, Frozen",25/1/2022,96
675-31-8177,10/4/2021,Soup - Campbells,4/2/2021,68
495-43-6967,11/7/2020,Appetizer - Cheese Bites,29/8/2021,61
711-63-0503,13/4/2020,Spinach - Spinach Leaf,16/3/2022,54
329-25-7239,27/1/2022,"Bread - Roll, Italian",16/12/2020,75
815-20-4120,2/1/2021,Ham Black Forest,19/4/2021,51
881-44-8050,17/11/2020,Sobe - Liz Blizz,4/12/2021,9
751-62-5360,17/11/2020,Tuna - Sushi Grade,25/12/2020,67
343-99-3304,3/4/2021,"Turkey - Breast, Boneless Sk ",30/11/2021,29
810-12-6306,17/12/2021,Kiwi,20/6/2022,5
491-98-0175,22/8/2021,Puree - Strawberry,20/9/2021,58
309-55-8123,21/7/2020,Potatoes - Idaho 80 Count,24/12/2020,54
877-20-7424,28/5/2021,"Juice - Orange, 341 Ml",28/7/2021,70
784-24-8313,24/7/2020,Beer - Muskoka Cream Ale,20/10/2021,40
534-74-1640,2/10/2020,Flour - All Purpose,28/4/2022,62
433-56-1685,19/12/2021,Canadian Emmenthal,28/4/2021,82
889-52-1120,7/5/2021,"Nut - Almond, Blanched, Whole",17/6/2021,41
599-98-8480,28/8/2021,Grenadillo,15/2/2022,96
131-01-6723,30/12/2020,Rabbit - Frozen,21/4/2021,78
432-72-7265,18/10/2020,Shrimp - 100 / 200 Cold Water,5/3/2021,99
867-72-9368,9/4/2022,Ginsing - Fresh,30/9/2022,14
544-31-9668,31/12/2021,"Yogurt - Strawberry, 175 Gr",15/3/2021,93
432-84-9053,24/5/2020,"Wine - Red, Cabernet Merlot",2/11/2021,89
594-43-8402,11/3/2022,Bread - Onion Focaccia,4/2/2021,50
782-03-1555,6/2/2021,Swiss Chard,3/11/2021,15
622-92-2826,2/7/2020,Wine - Crozes Hermitage E.,23/6/2022,21
593-04-7122,22/5/2021,Milk - Chocolate 500ml,11/7/2021,45
316-66-6642,1/10/2021,Bay Leaf Fresh,1/9/2022,82
591-98-6710,1/6/2022,Truffle Cups Green,11/4/2021,39
122-27-1680,13/1/2022,Parsley - Fresh,27/7/2021,38
753-92-9992,9/4/2022,Squash - Sunburst,11/8/2022,3
880-35-1306,12/2/2022,Cardamon Ground,15/10/2021,41
164-68-1325,13/9/2020,"Pasta - Spaghetti, Dry",16/1/2021,47
321-86-6917,14/8/2021,Wiberg Cure,7/8/2021,16
827-59-5617,18/3/2021,"Coconut - Shredded, Sweet",21/2/2022,100
692-33-7007,25/4/2020,Uniform Linen Charge,13/8/2021,97
634-70-0127,25/3/2021,Grapefruit - White,23/8/2021,15
627-73-3119,4/4/2021,Wine - Black Tower Qr,6/10/2022,78
365-96-7366,29/6/2022,Wine - Alsace Gewurztraminer,4/3/2022,92
490-67-7295,19/10/2020,Coffee - Dark Roast,8/5/2022,79
289-46-8677,4/6/2022,Sauce - Chili,4/10/2021,27
553-71-8412,15/7/2021,Sprite - 355 Ml,11/6/2021,12
202-66-2839,15/3/2020,Turkey - Ground. Lean,9/4/2022,91
398-97-1928,16/1/2022,"Soup - Campbells, Chix Gumbo",15/9/2022,6
418-27-2425,9/6/2021,Foil - 4oz Custard Cup,10/8/2022,16
129-70-9974,19/12/2020,"Mushroom - Oyster, Fresh",26/9/2022,38
414-69-0067,21/11/2021,Juice - Prune,11/3/2021,12
556-20-6158,19/5/2020,"Melon - Watermelon, Seedless",1/3/2022,96
378-42-3025,2/12/2021,Lemon Tarts,5/12/2021,92
866-63-2228,6/1/2022,Coffee - Almond Amaretto,27/2/2022,59
540-71-9846,24/11/2021,Sobe - Lizard Fuel,3/7/2022,12
897-32-5821,22/8/2020,Spice - Pepper Portions,15/12/2020,66
580-48-5304,20/4/2021,Truffle Shells - White Chocol,26/7/2022,15
451-82-4096,6/5/2020,Carbonated Water - Raspberry,11/12/2020,34
840-23-3858,9/4/2020,Turkey Tenderloin Frozen,18/10/2022,54
581-20-0248,18/1/2022,Flour - All Purpose,21/6/2022,1
841-62-4285,7/12/2020,Yeast Dry - Fermipan,30/12/2021,91
598-84-2863,23/1/2021,Muffin Hinge Container 6,8/12/2021,59
614-82-7275,30/10/2020,Cake - Night And Day Choclate,6/10/2021,60
