idfiscale,dataora,importo
192-99-4304,10/2/2021,1708.1
223-01-8465,22/5/2021,2656.91
403-96-7997,26/1/2022,6061.77
107-06-9317,20/3/2022,1863.25
839-99-2132,21/6/2022,8803.39
880-87-8243,23/8/2021,7894.86
540-39-2441,29/1/2021,9827.58
292-90-1347,12/5/2022,5015.63
661-41-8895,24/8/2021,6067.72
125-31-3496,3/8/2021,7799.69
174-57-4561,20/2/2022,3310.99
894-87-2853,13/8/2021,7404.5
643-66-8436,24/3/2022,8480.64
662-06-4135,22/12/2020,7272.84
708-45-1837,1/11/2020,9276.67
888-81-6829,18/7/2022,6426.75
424-22-4159,30/10/2021,2594.79
128-49-7595,18/4/2021,1556.62
495-35-8236,28/9/2021,4879.43
728-05-6582,7/10/2021,8060.91
598-95-3610,21/1/2021,8788.78
576-15-2713,10/7/2021,418.25
823-83-3659,16/10/2020,6587.31
465-36-2594,4/4/2021,5029.89
763-15-8448,23/8/2021,8473.39
107-99-7437,22/6/2021,6863.17
178-33-0595,21/6/2021,8759.39
584-72-7883,27/4/2022,4539.44
194-48-8669,21/1/2021,2011.15
338-99-2518,3/7/2022,9331.83
798-44-7918,8/10/2020,5309.52
526-86-2040,17/10/2021,4050.6
822-91-9188,25/2/2022,2514.82
526-36-7472,6/11/2020,1650.06
819-66-4447,30/11/2020,9079.72
782-98-9620,25/5/2022,6247.7
327-88-9179,12/1/2022,4857.8
403-65-9352,13/10/2020,9981.43
819-01-2621,30/7/2021,6468.68
205-66-5911,21/7/2021,2013.09
197-30-6096,5/5/2021,1819.28
476-04-7327,23/3/2021,300.3
519-99-0558,31/5/2021,8004.19
540-15-1473,4/2/2021,8266.06
897-17-7496,22/5/2022,6052.38
602-58-9097,10/4/2021,8711.88
144-01-3713,3/10/2020,6333.57
512-23-0840,21/6/2021,4873.5
359-11-3380,6/4/2022,188.55
430-98-7370,28/2/2022,6255.92
382-06-8502,23/2/2021,4422.88
813-83-9272,1/1/2021,4918.69
360-19-3578,28/10/2020,7963.19
846-96-0208,12/12/2021,6371.44
183-34-4749,9/2/2022,7637.62
217-87-5953,27/7/2021,339.26
379-90-0124,21/8/2021,646.34
156-97-0766,18/7/2022,7828.65
447-13-2843,12/10/2020,2892.0
639-21-5858,22/2/2022,6907.83
359-15-2660,30/5/2022,6997.1
413-67-5627,2/2/2021,3879.58
515-14-4897,6/9/2021,8508.52
594-44-9033,11/10/2020,1913.65
130-89-0901,2/11/2020,5903.8
730-48-2547,8/1/2022,9330.25
325-13-2341,1/2/2022,5353.29
633-04-1442,9/12/2021,7081.1
504-77-4429,17/12/2020,6005.17
170-46-8894,2/3/2021,6131.22
519-41-6055,9/2/2021,8088.46
816-27-3651,4/3/2022,5762.5
694-55-4611,19/10/2021,7631.61
576-45-9190,7/6/2021,4067.55
204-38-1792,5/6/2022,9706.21
413-95-1167,18/10/2021,65.55
777-63-5908,25/3/2021,1054.14
286-20-7152,17/12/2020,5715.47
507-54-3237,13/10/2020,1153.21
109-06-5370,11/2/2022,1948.67
224-75-5802,7/6/2022,6395.2
374-59-0517,12/10/2020,753.99
120-95-0902,9/3/2021,5802.86
351-58-2355,19/10/2021,4026.97
290-40-0294,17/10/2021,8030.05
345-49-2617,29/1/2021,9582.89
680-15-5774,18/11/2020,6980.09
397-52-2121,1/7/2022,233.17
262-61-2662,2/4/2021,7455.04
140-44-7379,14/10/2021,1720.96
325-34-1724,26/4/2021,409.85
561-48-7136,6/10/2021,5111.83
490-73-5178,24/6/2021,379.34
827-46-5371,14/1/2022,4314.27
281-87-3558,18/8/2021,1645.12
719-75-9876,29/3/2022,1310.39
145-80-6629,26/5/2021,8588.62
356-23-1951,16/9/2021,8175.77
228-92-5823,19/10/2020,6516.81
251-96-2460,21/10/2021,6244.22
