idfiscale,dataora,nome,scadenza,quantita
192-99-4304,10/2/2021,Cheese - Marble,1/4/2021,97
223-01-8465,22/5/2021,Greens Mustard,26/8/2021,66
403-96-7997,26/1/2022,Sea Bass - Fillets,18/2/2022,33
107-06-9317,20/3/2022,Capon - Whole,28/1/2021,56
839-99-2132,21/6/2022,Sambuca - Ramazzotti,24/6/2021,33
880-87-8243,23/8/2021,Muffin - Carrot Individual Wr,24/6/2021,65
540-39-2441,29/1/2021,Peas Snow,2/2/2021,41
292-90-1347,12/5/2022,"Nut - Peanut, Roasted",23/6/2021,59
661-41-8895,24/8/2021,Sprouts - Onion,15/1/2021,24
125-31-3496,3/8/2021,Bagel - Sesame Seed Presliced,30/10/2022,53
174-57-4561,20/2/2022,Quail Eggs - Canned,30/5/2022,13
894-87-2853,13/8/2021,Lamb - Rack,16/8/2021,90
643-66-8436,24/3/2022,Lamb - Rack,22/11/2021,98
662-06-4135,22/12/2020,Maple Syrup,23/8/2022,72
708-45-1837,1/11/2020,Steamers White,27/7/2021,19
888-81-6829,18/7/2022,"Beef - Ground, Extra Lean, Fr",5/9/2021,51
424-22-4159,30/10/2021,Ecolab Digiclean Mild Fm,29/12/2021,83
128-49-7595,18/4/2021,Duck - Fat,12/1/2022,36
495-35-8236,28/9/2021,"Wine - Red, Cabernet Merlot",11/7/2021,75
728-05-6582,7/10/2021,Vaccum Bag 10x13,7/9/2022,29
598-95-3610,21/1/2021,Broccoli - Fresh,5/3/2022,7
576-15-2713,10/7/2021,Lettuce - Lambs Mash,1/8/2021,71
823-83-3659,16/10/2020,Beef - Top Butt,13/9/2022,64
465-36-2594,4/4/2021,Tarts Assorted,15/3/2021,24
763-15-8448,23/8/2021,Cheese - Grie Des Champ,30/8/2021,66
107-99-7437,22/6/2021,Vodka - Smirnoff,18/10/2022,93
178-33-0595,21/6/2021,Cup Translucent 9 Oz,21/5/2021,15
584-72-7883,27/4/2022,Muffin Orange Individual,1/11/2021,22
194-48-8669,21/1/2021,Cake - Lemon Chiffon,2/10/2021,80
338-99-2518,3/7/2022,Smoked Tongue,20/5/2022,89
798-44-7918,8/10/2020,Tuna - Loin,30/12/2020,17
526-86-2040,17/10/2021,"Syrup - Monin, Swiss Choclate",10/2/2021,1
822-91-9188,25/2/2022,Pork - Hock And Feet Attached,15/9/2021,30
526-36-7472,6/11/2020,Soup - Campbells Pasta Fagiol,8/6/2022,55
819-66-4447,30/11/2020,Lettuce Romaine Chopped,22/2/2022,3
782-98-9620,25/5/2022,Rambutan,18/12/2020,72
327-88-9179,12/1/2022,Kiwi Gold Zespri,26/8/2022,54
403-65-9352,13/10/2020,Rice - Basmati,6/1/2022,44
819-01-2621,30/7/2021,Beef - Rib Eye Aaa,27/7/2022,31
205-66-5911,21/7/2021,Raspberries - Frozen,30/9/2022,9
197-30-6096,5/5/2021,"Mushroom - Chantrelle, Fresh",20/9/2021,58
476-04-7327,23/3/2021,"Beef - Ox Tail, Frozen",25/1/2022,89
519-99-0558,31/5/2021,Soup - Campbells,4/2/2021,44
540-15-1473,4/2/2021,Appetizer - Cheese Bites,29/8/2021,18
897-17-7496,22/5/2022,Spinach - Spinach Leaf,16/3/2022,10
602-58-9097,10/4/2021,"Bread - Roll, Italian",16/12/2020,48
144-01-3713,3/10/2020,Ham Black Forest,19/4/2021,10
512-23-0840,21/6/2021,Sobe - Liz Blizz,4/12/2021,6
359-11-3380,6/4/2022,Tuna - Sushi Grade,25/12/2020,59
430-98-7370,28/2/2022,"Turkey - Breast, Boneless Sk ",30/11/2021,83
382-06-8502,23/2/2021,Kiwi,20/6/2022,85
813-83-9272,1/1/2021,Puree - Strawberry,20/9/2021,71
360-19-3578,28/10/2020,Potatoes - Idaho 80 Count,24/12/2020,55
846-96-0208,12/12/2021,"Juice - Orange, 341 Ml",28/7/2021,3
183-34-4749,9/2/2022,Beer - Muskoka Cream Ale,20/10/2021,91
217-87-5953,27/7/2021,Flour - All Purpose,28/4/2022,55
379-90-0124,21/8/2021,Canadian Emmenthal,28/4/2021,70
156-97-0766,18/7/2022,"Nut - Almond, Blanched, Whole",17/6/2021,73
447-13-2843,12/10/2020,Grenadillo,15/2/2022,40
639-21-5858,22/2/2022,Rabbit - Frozen,21/4/2021,71
359-15-2660,30/5/2022,Shrimp - 100 / 200 Cold Water,5/3/2021,50
413-67-5627,2/2/2021,Ginsing - Fresh,30/9/2022,98
515-14-4897,6/9/2021,"Yogurt - Strawberry, 175 Gr",15/3/2021,99
594-44-9033,11/10/2020,"Wine - Red, Cabernet Merlot",2/11/2021,38
130-89-0901,2/11/2020,Bread - Onion Focaccia,4/2/2021,41
730-48-2547,8/1/2022,Swiss Chard,3/11/2021,27
325-13-2341,1/2/2022,Wine - Crozes Hermitage E.,23/6/2022,57
633-04-1442,9/12/2021,Milk - Chocolate 500ml,11/7/2021,95
504-77-4429,17/12/2020,Bay Leaf Fresh,1/9/2022,37
170-46-8894,2/3/2021,Truffle Cups Green,11/4/2021,12
519-41-6055,9/2/2021,Parsley - Fresh,27/7/2021,79
816-27-3651,4/3/2022,Squash - Sunburst,11/8/2022,86
694-55-4611,19/10/2021,Cardamon Ground,15/10/2021,49
576-45-9190,7/6/2021,"Pasta - Spaghetti, Dry",16/1/2021,94
204-38-1792,5/6/2022,Wiberg Cure,7/8/2021,15
413-95-1167,18/10/2021,"Coconut - Shredded, Sweet",21/2/2022,37
777-63-5908,25/3/2021,Uniform Linen Charge,13/8/2021,97
286-20-7152,17/12/2020,Grapefruit - White,23/8/2021,94
507-54-3237,13/10/2020,Wine - Black Tower Qr,6/10/2022,85
109-06-5370,11/2/2022,Wine - Alsace Gewurztraminer,4/3/2022,48
224-75-5802,7/6/2022,Coffee - Dark Roast,8/5/2022,21
374-59-0517,12/10/2020,Sauce - Chili,4/10/2021,49
120-95-0902,9/3/2021,Sprite - 355 Ml,11/6/2021,97
351-58-2355,19/10/2021,Turkey - Ground. Lean,9/4/2022,82
290-40-0294,17/10/2021,"Soup - Campbells, Chix Gumbo",15/9/2022,79
345-49-2617,29/1/2021,Foil - 4oz Custard Cup,10/8/2022,12
680-15-5774,18/11/2020,"Mushroom - Oyster, Fresh",26/9/2022,86
397-52-2121,1/7/2022,Juice - Prune,11/3/2021,70
262-61-2662,2/4/2021,"Melon - Watermelon, Seedless",1/3/2022,9
140-44-7379,14/10/2021,Lemon Tarts,5/12/2021,9
325-34-1724,26/4/2021,Coffee - Almond Amaretto,27/2/2022,32
561-48-7136,6/10/2021,Sobe - Lizard Fuel,3/7/2022,22
490-73-5178,24/6/2021,Spice - Pepper Portions,15/12/2020,89
827-46-5371,14/1/2022,Truffle Shells - White Chocol,26/7/2022,27
281-87-3558,18/8/2021,Carbonated Water - Raspberry,11/12/2020,53
719-75-9876,29/3/2022,Turkey Tenderloin Frozen,18/10/2022,73
145-80-6629,26/5/2021,Flour - All Purpose,21/6/2022,21
356-23-1951,16/9/2021,Yeast Dry - Fermipan,30/12/2021,43
228-92-5823,19/10/2020,Muffin Hinge Container 6,8/12/2021,65
251-96-2460,21/10/2021,Cake - Night And Day Choclate,6/10/2021,22
