codicefiscale,titolaretessera,fasciaeta,autorizzato
815-91-3551,130-69-2796,b,true
794-98-2498,391-49-4801,b,false
670-92-3641,748-51-7022,o,true
673-76-5238,432-84-9053,a,true
305-37-4392,599-63-6491,o,false
549-04-1243,327-47-1526,n,true
599-27-5014,345-54-0029,n,true
286-77-5133,751-62-5360,t,true
684-98-2101,286-77-5133,n,true
550-22-2523,289-22-7249,a,true
845-12-7389,619-70-4346,a,false
723-34-0361,121-56-3053,a,true
798-16-0847,748-77-9984,t,false
176-24-3674,698-45-5691,t,true
413-54-5603,139-87-1941,n,true
391-36-8064,700-36-1910,b,false
574-68-1313,827-09-1432,b,true
406-10-2238,521-95-5443,n,true
241-49-4556,480-56-0636,t,false
190-35-1710,580-05-5713,a,true
198-30-8087,598-84-2863,o,false
721-96-5052,279-23-1878,b,false
206-25-3136,298-86-7704,o,true
382-81-3047,583-25-8573,n,true
700-76-7626,352-29-3200,t,false
356-88-5300,826-87-8607,a,false
152-89-8565,377-61-7716,b,true
277-79-8525,132-12-8939,b,false
553-44-1861,732-36-9004,n,true
210-65-1036,784-24-8313,n,true
561-74-9308,197-89-9457,n,false
419-24-3253,489-57-2835,a,false
286-32-7633,571-20-2308,a,false
246-37-9688,328-72-6247,b,true
732-36-9004,895-17-8385,t,false
569-74-4170,580-05-5713,a,false
118-84-2246,698-45-5691,n,false
258-86-2540,759-38-5871,t,false
622-33-9001,133-45-8943,n,false
338-01-3387,131-01-6723,o,false
735-51-4274,279-23-1878,t,true
350-18-9287,759-10-3928,a,true
675-31-8177,576-26-6139,a,true
495-43-6967,739-60-2221,b,false
711-63-0503,782-03-1555,n,false
329-25-7239,759-38-5871,a,false
815-20-4120,514-89-9325,n,false
881-44-8050,489-82-2141,n,true
751-62-5360,369-32-5125,a,true
343-99-3304,532-30-2240,o,false
810-12-6306,880-35-1306,t,false
491-98-0175,853-34-3911,a,true
309-55-8123,432-84-9053,n,false
877-20-7424,815-20-4120,b,true
784-24-8313,793-86-9258,a,true
534-74-1640,147-82-0816,n,true
433-56-1685,302-14-4748,b,false
889-52-1120,627-89-6197,b,true
599-98-8480,222-68-6706,o,true
131-01-6723,553-71-8412,t,false
432-72-7265,265-84-8887,n,false
867-72-9368,779-21-6676,a,true
544-31-9668,894-80-9200,o,false
432-84-9053,759-38-5871,a,false
594-43-8402,543-75-0738,a,true
782-03-1555,173-36-5576,b,true
622-92-2826,413-54-5603,a,true
593-04-7122,634-18-8900,o,true
316-66-6642,433-56-1685,n,false
591-98-6710,711-63-0503,b,false
122-27-1680,553-44-1861,a,false
753-92-9992,864-10-9773,b,false
880-35-1306,745-06-5914,t,false
164-68-1325,569-51-6653,t,true
321-86-6917,742-26-4208,n,true
827-59-5617,321-01-9647,a,false
692-33-7007,852-68-3731,a,true
634-70-0127,883-52-7646,n,false
627-73-3119,681-29-8632,n,false
365-96-7366,583-25-8573,n,true
490-67-7295,594-43-8402,t,false
289-46-8677,403-98-8638,o,false
553-71-8412,123-25-4093,n,false
202-66-2839,263-84-8915,n,false
398-97-1928,339-47-7811,b,true
418-27-2425,670-55-2685,a,true
129-70-9974,831-56-3859,b,false
414-69-0067,723-25-1641,a,false
556-20-6158,149-60-7833,t,false
378-42-3025,231-06-0494,b,true
866-63-2228,759-38-5871,a,false
540-71-9846,852-60-3162,o,true
897-32-5821,389-53-3606,o,false
580-48-5304,794-98-2498,t,true
451-82-4096,871-95-3561,n,true
840-23-3858,766-91-8446,t,false
581-20-0248,222-68-6706,o,false
841-62-4285,526-55-2396,o,true
598-84-2863,377-61-7716,n,false
614-82-7275,490-67-7295,n,true
