codicefiscale,numero
815-91-3551,5808606427
794-98-2498,8813866767
670-92-3641,7145877508
673-76-5238,8839751617
305-37-4392,9155463889
549-04-1243,9587510908
599-27-5014,1259293661
286-77-5133,8826582225
684-98-2101,8179409073
550-22-2523,8129445758
845-12-7389,2716545717
723-34-0361,3344284591
798-16-0847,1656348495
176-24-3674,6102268090
413-54-5603,4206608880
391-36-8064,9011824504
574-68-1313,5469173825
406-10-2238,9886935752
241-49-4556,9431210192
190-35-1710,2894769064
198-30-8087,9425674099
721-96-5052,3161441553
206-25-3136,2508719542
382-81-3047,4316398556
700-76-7626,6641354031
356-88-5300,1011268807
152-89-8565,7084003948
277-79-8525,5035338487
553-44-1861,9955724056
210-65-1036,1096162714
561-74-9308,3127410413
419-24-3253,4572371560
286-32-7633,3755748285
246-37-9688,5263867191
732-36-9004,8674191732
569-74-4170,4764853123
118-84-2246,4054070439
258-86-2540,5162676748
622-33-9001,5139099919
338-01-3387,2208001925
735-51-4274,2181012981
350-18-9287,3621363404
675-31-8177,3866768372
495-43-6967,2148127311
711-63-0503,2562752318
329-25-7239,3101852642
815-20-4120,1251541628
881-44-8050,8567576913
751-62-5360,2427004854
343-99-3304,7497584938
810-12-6306,3071845797
491-98-0175,8728987464
309-55-8123,8108704257
877-20-7424,2417776786
784-24-8313,2725280531
534-74-1640,9265377762
433-56-1685,1759556478
889-52-1120,7229692126
599-98-8480,5268661183
131-01-6723,2913900239
432-72-7265,1256681826
867-72-9368,1499953582
544-31-9668,7517741641
432-84-9053,4685627881
594-43-8402,4061552546
782-03-1555,8575066565
622-92-2826,2866196228
593-04-7122,2906045123
316-66-6642,7302021813
591-98-6710,6011898247
122-27-1680,4089401895
753-92-9992,8073019733
880-35-1306,2045866818
164-68-1325,4153731777
321-86-6917,2649433295
827-59-5617,5548529343
692-33-7007,1993308011
634-70-0127,6022926295
627-73-3119,4357213768
365-96-7366,6201232161
490-67-7295,4412055044
289-46-8677,5747618909
553-71-8412,5121829988
202-66-2839,1445734558
398-97-1928,1858554205
418-27-2425,5463184009
129-70-9974,5724487757
414-69-0067,8585093790
556-20-6158,5195088239
378-42-3025,6104457982
866-63-2228,4632573726
540-71-9846,5462567799
897-32-5821,1764420258
580-48-5304,9593285108
451-82-4096,6601810815
840-23-3858,7792518586
581-20-0248,7331594727
841-62-4285,1698490545
598-84-2863,7261135648
614-82-7275,8934832724
827-09-1432,3654407197
828-54-3917,6833611428
610-93-6780,6149614822
619-70-4346,1703839192
871-95-3561,9517473971
688-44-1726,9882840754
154-57-9816,2794338993
311-58-1019,9618208144
451-87-5221,6011299285
883-52-7646,2741934096
321-35-6753,9248772792
683-23-7281,7711067188
747-59-7753,4318885039
345-82-7852,1568572286
447-91-7026,6094646712
859-35-1470,7984972502
122-76-8283,9835086870
790-46-0049,7541213840
367-67-9425,6304967651
332-87-7974,5212388260
837-95-4903,5212519191
539-26-8444,5618422773
897-58-0602,9208239641
571-20-2308,1218917085
767-86-0311,5105155568
853-34-3911,9242352460
822-11-3038,8336650577
173-23-6145,4625799029
484-11-0055,6414869696
479-77-7026,8658419017
495-53-3676,8722155205
696-22-6985,3269660717
759-38-5871,6341266257
639-95-9107,8665326896
196-41-8946,8234342760
403-98-8638,1377223848
423-57-5437,5542687421
217-25-8914,1731322315
569-21-7769,4528220052
799-37-5651,3378208986
333-53-4080,7244259027
435-11-7201,7808673691
234-85-2267,7601982479
477-52-5020,1468409051
399-85-1659,8008612909
221-86-4191,9867708699
644-25-6338,8456495628
255-49-0171,7147389971
532-25-4264,2987266070
377-61-7716,3649226728
809-62-6190,3591733547
584-49-3524,9277961709
831-56-3859,9646907020
448-13-6489,4352599185
302-14-4748,8542338459
662-73-5838,8661560637
705-07-0613,5726448748
370-55-5648,4718334229
804-41-8350,2357937853
182-73-0852,2104867363
186-36-3852,1783252305
140-32-0911,8543884951
322-83-0045,2663829753
807-34-3527,7823139041
523-77-5787,5152171765
541-89-7464,3119086359
848-21-4647,2209379183
123-25-4093,3222238196
754-09-1256,2452785449
785-16-9099,2022238800
429-89-8592,2189462474
846-42-0236,8828052775
568-93-4443,8687461187
338-53-9477,1142439996
522-44-8085,1515898523
118-84-8040,7465973019
886-12-7377,5887424351
180-69-2929,5828957291
514-69-8732,1097335895
361-53-7338,4395393376
586-43-6024,8474812635
490-19-5214,2245954091
803-11-9312,9367337420
712-95-0224,7474226078
835-92-0965,6842911949
401-47-0279,5328661230
195-81-3519,3546198081
601-55-5898,4811844579
505-92-7042,8934180966
129-46-0938,5798013554
216-35-7520,1856351675
130-69-2796,3151755841
467-15-4469,8612865440
355-52-7026,3772308000
735-87-7985,4989838149
768-52-2155,8609712397
553-88-0799,5883435541
573-22-5784,3015774492
349-23-4199,7722394723
670-55-2685,1378939291
558-82-5561,6405532179
871-93-1103,5449587291
126-48-2394,4468976816
218-20-9451,6108864956
704-89-5002,2474044414
253-97-0348,9745675198
521-95-5443,9129657662
455-55-8619,6714353371
787-94-9549,6152620794
481-33-7874,7739458823
838-91-5959,8493211142
508-14-3059,4268966344
147-82-0816,8119768999
409-46-2137,5229667426
488-03-1663,7996058363
285-49-6857,9053068802
411-18-0588,8446040156
415-94-3607,1067604329
738-48-9483,9228187795
766-91-8446,9018410984
500-20-5136,7683832393
235-91-0673,7666114725
868-12-4076,4326185313
762-19-1147,9828787600
255-48-6984,8707639127
132-12-8939,8728768467
428-43-1896,9697816502
509-14-6705,2394209862
621-53-1855,5086706069
745-06-5914,4305916553
167-75-0594,6801404934
288-64-3387,2225508794
576-26-6139,6647811026
865-39-7974,4035240512
564-19-4286,4304617753
520-63-0412,5805367483
368-71-3521,7659887266
883-57-1483,7685191658
113-09-4903,9717812500
853-61-8722,7987637467
609-77-2350,2279635968
292-86-2669,8502975717
347-82-8378,3579021877
505-66-4179,8309779998
805-19-6463,8443233763
583-25-8573,9265518217
733-50-7639,7983773058
698-45-5691,1212685712
503-24-4190,3359646580
232-77-2650,6936444527
816-15-7526,4559589698
310-05-1622,2187604100
289-22-7249,5816837526
220-68-1108,8187445107
224-88-4256,5046470902
298-86-7704,8028180884
532-30-2240,4354776556
443-90-4239,4807825020
516-93-8856,8828966914
559-60-1093,4952743646
545-27-0627,8794051743
723-25-1641,8619806591
680-66-6015,6802360165
361-62-9166,6121854053
837-78-3730,3552377365
627-89-6197,1777069495
237-97-9128,3168536167
259-80-7201,3513614667
254-92-2680,8897576017
268-25-5169,7005431992
591-68-4376,1098788741
428-61-2499,1757697247
401-76-5565,3288428213
157-89-5410,1591338245
544-62-5941,7229407308
436-35-3182,2771722215
867-47-7474,2363933567
448-68-8829,1877612770
749-97-2591,2108198529
496-04-8941,9233924746
850-50-8825,4452233680
373-18-0614,1734680493
599-63-6491,5075077558
207-37-0577,1809838729
222-68-6706,4242064444
660-29-4941,1053466196
621-26-0799,7415225312
739-60-2221,7234355685
125-05-0128,3715229321
773-02-0739,5972385147
488-60-9659,1372026955
654-75-9350,9179079175
558-11-5876,9617058682
159-15-8431,6967727299
759-65-1487,4104110981
318-80-0452,2167228462
403-59-5126,3304773771
357-85-3091,8275886271
413-07-2650,8145302316
345-54-0029,5958501879
668-51-0370,9762947381
425-03-1105,7423069278
748-51-7022,6864687096
241-06-3092,2788134588
838-79-4121,9147593608
690-89-6769,7756577150
672-99-8942,9944345150
894-80-9200,3544916458
510-21-1863,4781756670
886-63-6886,5218480573
592-65-0822,2951801083
305-92-9019,5219859523
502-15-0012,9154596654
825-41-5699,6512066134
339-47-7811,7719492397
480-56-0636,5161123180
118-12-5731,8029191593
584-45-8646,6224965195
811-21-7904,8085236795
333-80-2049,3339364345
634-18-8900,1521992245
636-54-1656,9309691689
252-12-2739,7208623445
450-88-6726,5037564479
489-76-6500,1464708709
304-80-0793,3183879725
657-03-0872,3319244361
141-62-5733,2006364198
342-29-9433,2745270984
391-49-4801,5369366091
711-19-1987,9836799065
843-68-0339,6751356520
525-81-5131,4618236038
430-59-5626,9758278564
121-56-3053,8993504687
823-31-8430,1244393290
306-26-5238,3304528502
140-30-8358,6459993280
600-49-3633,1748709552
779-21-6676,9244001602
748-77-9984,4354505186
210-92-6545,3538229688
366-35-5327,4651697569
378-89-0235,1392069162
761-02-3102,8748146732
880-47-9942,4195547351
149-60-7833,2487057307
159-88-5910,4941091175
607-80-0536,5814526123
337-95-1574,5536738324
154-06-7182,4323524883
870-11-1687,8941349351
647-73-2486,5465450346
499-44-2244,1302770054
279-23-1878,2029325011
559-60-8707,8838063582
181-44-6205,9967688418
362-84-5682,9514627038
668-99-0484,1459485478
515-03-4963,6037806681
894-97-0092,1917327945
489-82-2141,2456519192
452-66-5725,4835129308
197-89-9457,7533262415
214-77-0843,2157096011
295-51-3628,8583421989
514-89-9325,9763289971
422-94-4122,4081446723
173-36-5576,7121750927
681-29-8632,4641669967
453-15-5816,3134366883
449-29-9693,1025928911
392-08-7988,7487435191
604-43-7646,3982024980
133-45-8943,9165437938
231-06-0494,7481458550
150-90-9753,9651219053
559-54-4403,3282702207
411-05-5231,4875795927
793-86-9258,3538003967
455-83-0275,3937817245
831-82-8444,6503418630
497-34-0449,8597380307
852-60-3162,8089299876
579-79-8716,3456884972
841-24-8765,8821164293
755-83-8331,9165184755
134-10-9928,1301788314
288-96-5328,4937788906
555-69-5600,4682716088
759-10-3928,9338250743
352-29-3200,2565439373
369-32-5125,5722612377
817-33-2462,6897933764
428-41-2477,6638015604
495-28-7114,2571504983
677-03-6458,5939686690
569-51-6653,5477324232
410-33-8312,3287964647
393-95-8364,7477991102
788-42-3754,8438367931
281-84-5189,3924601043
525-37-3633,9021411352
102-90-4393,2962526884
292-53-0353,8633398031
321-01-9647,1592522950
668-95-5971,2389489640
426-32-6074,8809696181
887-55-1731,3095263466
760-50-1258,5856761073
612-56-9976,1122040444
566-38-0557,4599390271
139-87-1941,9676920598
274-56-7765,8429258385
784-91-2086,2501761575
240-01-7851,3829647308
413-06-8276,9575495064
265-84-8887,4345486884
864-10-9773,3919780039
657-36-7812,9601535783
574-41-9677,9084186281
612-65-8993,5279990014
489-57-2835,4017206333
393-74-4184,8055511417
462-73-7062,8002159640
508-07-0856,4628022106
226-84-7076,2192250206
327-47-1526,6791751024
141-79-6690,1649772394
826-87-8607,2431861563
128-09-5399,3198532460
592-52-7378,3155304004
662-15-1935,4161037317
582-27-0873,9011034752
769-82-2575,2232011435
319-14-7162,2984969747
