codicefiscale,dataora,nome,scadenza,quantita
815-91-3551,3/12/2021,Cheese - Marble,1/4/2021,86
794-98-2498,31/8/2021,Greens Mustard,26/8/2021,49
670-92-3641,20/3/2021,Sea Bass - Fillets,18/2/2022,44
673-76-5238,22/10/2020,Capon - Whole,28/1/2021,34
305-37-4392,18/12/2020,Sambuca - Ramazzotti,24/6/2021,60
549-04-1243,1/1/2021,Muffin - Carrot Individual Wr,24/6/2021,93
599-27-5014,9/2/2022,Peas Snow,2/2/2021,84
286-77-5133,1/5/2021,"Nut - Peanut, Roasted",23/6/2021,16
684-98-2101,7/10/2021,Sprouts - Onion,15/1/2021,54
550-22-2523,30/6/2022,Bagel - Sesame Seed Presliced,30/10/2022,99
845-12-7389,21/10/2020,Quail Eggs - Canned,30/5/2022,68
723-34-0361,14/6/2022,Lamb - Rack,16/8/2021,8
798-16-0847,12/9/2021,Lamb - Rack,22/11/2021,54
176-24-3674,28/11/2021,Maple Syrup,23/8/2022,77
413-54-5603,19/12/2020,Steamers White,27/7/2021,7
391-36-8064,15/10/2021,"Beef - Ground, Extra Lean, Fr",5/9/2021,22
574-68-1313,26/4/2021,Ecolab Digiclean Mild Fm,29/12/2021,70
406-10-2238,7/8/2021,Duck - Fat,12/1/2022,37
241-49-4556,21/6/2022,"Wine - Red, Cabernet Merlot",11/7/2021,22
190-35-1710,27/3/2022,Vaccum Bag 10x13,7/9/2022,72
198-30-8087,2/8/2021,Broccoli - Fresh,5/3/2022,85
721-96-5052,29/12/2020,Lettuce - Lambs Mash,1/8/2021,60
206-25-3136,14/4/2022,Beef - Top Butt,13/9/2022,32
382-81-3047,10/1/2022,Tarts Assorted,15/3/2021,15
700-76-7626,17/4/2021,Cheese - Grie Des Champ,30/8/2021,61
356-88-5300,31/7/2021,Vodka - Smirnoff,18/10/2022,1
152-89-8565,30/3/2021,Cup Translucent 9 Oz,21/5/2021,29
277-79-8525,14/10/2021,Muffin Orange Individual,1/11/2021,46
553-44-1861,23/11/2021,Cake - Lemon Chiffon,2/10/2021,52
210-65-1036,28/11/2021,Smoked Tongue,20/5/2022,33
