codicefiscale,dataora,id,numeroscatole
815-91-3551,8/1/2022,192-99-4304,165
794-98-2498,3/4/2021,223-01-8465,631
670-92-3641,7/3/2022,403-96-7997,931
673-76-5238,13/7/2022,107-06-9317,724
305-37-4392,15/9/2021,839-99-2132,902
549-04-1243,22/3/2021,880-87-8243,270
599-27-5014,22/7/2021,540-39-2441,893
286-77-5133,8/2/2021,292-90-1347,109
684-98-2101,26/5/2022,661-41-8895,949
550-22-2523,1/11/2021,125-31-3496,822
845-12-7389,19/2/2021,174-57-4561,810
723-34-0361,29/3/2022,894-87-2853,699
798-16-0847,18/6/2022,643-66-8436,260
176-24-3674,18/1/2022,662-06-4135,672
413-54-5603,14/2/2021,708-45-1837,878
391-36-8064,24/7/2021,888-81-6829,897
574-68-1313,21/8/2021,424-22-4159,52
406-10-2238,12/4/2022,128-49-7595,511
241-49-4556,4/8/2021,495-35-8236,582
190-35-1710,1/6/2022,728-05-6582,100
198-30-8087,10/12/2021,192-99-4304,391
721-96-5052,25/1/2021,223-01-8465,371
206-25-3136,31/5/2022,403-96-7997,955
382-81-3047,8/6/2021,107-06-9317,502
700-76-7626,16/10/2021,839-99-2132,932
356-88-5300,16/1/2022,880-87-8243,986
152-89-8565,16/5/2022,540-39-2441,827
277-79-8525,3/5/2021,292-90-1347,303
553-44-1861,18/9/2021,661-41-8895,302
210-65-1036,14/10/2021,125-31-3496,649
561-74-9308,14/7/2022,174-57-4561,6
419-24-3253,10/9/2021,894-87-2853,920
286-32-7633,24/4/2021,643-66-8436,74
246-37-9688,8/8/2021,662-06-4135,212
732-36-9004,24/2/2021,708-45-1837,215
569-74-4170,11/4/2021,888-81-6829,349
118-84-2246,13/4/2022,424-22-4159,718
258-86-2540,18/12/2021,128-49-7595,611
622-33-9001,3/6/2022,495-35-8236,826
338-01-3387,2/5/2022,728-05-6582,359
735-51-4274,22/10/2021,192-99-4304,101
350-18-9287,15/12/2021,223-01-8465,286
675-31-8177,13/4/2021,403-96-7997,396
495-43-6967,21/5/2021,107-06-9317,537
711-63-0503,16/2/2021,839-99-2132,456
329-25-7239,22/2/2022,880-87-8243,514
815-20-4120,29/4/2022,540-39-2441,136
881-44-8050,25/3/2022,292-90-1347,694
751-62-5360,2/12/2021,661-41-8895,1000
343-99-3304,9/4/2021,125-31-3496,621
810-12-6306,18/3/2021,174-57-4561,849
491-98-0175,5/10/2021,894-87-2853,136
309-55-8123,4/4/2021,643-66-8436,923
877-20-7424,17/3/2022,662-06-4135,651
784-24-8313,27/7/2021,708-45-1837,875
534-74-1640,16/4/2021,888-81-6829,378
433-56-1685,13/4/2022,424-22-4159,47
889-52-1120,30/9/2021,128-49-7595,713
599-98-8480,27/3/2021,495-35-8236,949
131-01-6723,3/7/2022,728-05-6582,368
432-72-7265,7/8/2021,192-99-4304,952
867-72-9368,3/4/2022,223-01-8465,673
544-31-9668,9/2/2021,403-96-7997,872
432-84-9053,26/6/2022,107-06-9317,136
594-43-8402,3/12/2021,839-99-2132,660
782-03-1555,22/8/2021,880-87-8243,975
622-92-2826,9/3/2022,540-39-2441,948
593-04-7122,19/6/2021,292-90-1347,289
316-66-6642,10/4/2022,661-41-8895,870
591-98-6710,26/1/2021,125-31-3496,192
122-27-1680,13/4/2022,174-57-4561,902
753-92-9992,30/5/2022,894-87-2853,308
880-35-1306,2/4/2022,643-66-8436,403
164-68-1325,22/2/2021,662-06-4135,645
321-86-6917,1/6/2022,708-45-1837,1
827-59-5617,20/4/2021,888-81-6829,499
692-33-7007,25/11/2021,424-22-4159,752
634-70-0127,13/5/2022,128-49-7595,336
627-73-3119,21/1/2022,495-35-8236,257
365-96-7366,17/1/2022,728-05-6582,597
490-67-7295,20/10/2021,192-99-4304,897
289-46-8677,21/1/2021,223-01-8465,819
553-71-8412,1/9/2021,403-96-7997,71
202-66-2839,6/4/2021,107-06-9317,605
398-97-1928,26/3/2022,839-99-2132,14
418-27-2425,25/5/2022,880-87-8243,515
129-70-9974,31/10/2021,540-39-2441,968
414-69-0067,6/8/2021,292-90-1347,258
556-20-6158,25/10/2021,661-41-8895,649
378-42-3025,17/10/2021,125-31-3496,43
866-63-2228,19/6/2022,174-57-4561,913
540-71-9846,1/5/2022,894-87-2853,30
897-32-5821,25/6/2021,643-66-8436,109
580-48-5304,1/7/2022,662-06-4135,25
451-82-4096,12/12/2021,708-45-1837,455
840-23-3858,16/2/2022,888-81-6829,934
581-20-0248,4/5/2022,424-22-4159,59
841-62-4285,17/5/2021,128-49-7595,73
598-84-2863,11/10/2021,495-35-8236,774
614-82-7275,16/6/2022,728-05-6582,2
