codicefiscale,dataora,attivita
815-91-3551,29/7/2022,Rifornimento
794-98-2498,29/1/2022,Rifornimento
670-92-3641,9/10/2021,Rifornimento
673-76-5238,26/5/2022,Rifornimento
305-37-4392,21/4/2021,Rifornimento
549-04-1243,15/8/2021,Accoglienza
599-27-5014,8/4/2021,Riordino
286-77-5133,19/10/2021,Accoglienza
684-98-2101,10/2/2022,Rifornimento
550-22-2523,20/1/2022,Riordino
845-12-7389,5/8/2022,Rifornimento
723-34-0361,11/3/2022,Accoglienza
798-16-0847,19/5/2022,Accoglienza
176-24-3674,7/10/2021,Accoglienza
413-54-5603,5/4/2022,Accoglienza
391-36-8064,26/9/2021,Accoglienza
574-68-1313,9/5/2021,Riordino
406-10-2238,8/1/2022,Accoglienza
241-49-4556,6/3/2021,Accoglienza
190-35-1710,10/5/2022,Riordino
198-30-8087,1/7/2022,Riordino
721-96-5052,19/4/2022,Riordino
206-25-3136,1/10/2021,Accoglienza
382-81-3047,6/8/2022,Accoglienza
700-76-7626,4/7/2021,Accoglienza
356-88-5300,29/3/2022,Riordino
152-89-8565,26/10/2021,Accoglienza
277-79-8525,21/3/2022,Riordino
553-44-1861,30/3/2022,Riordino
210-65-1036,10/7/2022,Accoglienza
561-74-9308,9/4/2022,Riordino
419-24-3253,4/4/2021,Accoglienza
286-32-7633,3/3/2022,Riordino
246-37-9688,24/6/2021,Rifornimento
732-36-9004,28/7/2021,Rifornimento
569-74-4170,25/12/2021,Riordino
118-84-2246,22/7/2021,Rifornimento
258-86-2540,24/9/2021,Accoglienza
622-33-9001,3/9/2021,Accoglienza
338-01-3387,8/9/2021,Riordino
735-51-4274,19/12/2021,Accoglienza
350-18-9287,28/6/2022,Riordino
675-31-8177,30/3/2021,Rifornimento
495-43-6967,8/6/2022,Accoglienza
711-63-0503,26/1/2022,Riordino
329-25-7239,2/9/2021,Rifornimento
815-20-4120,29/5/2021,Riordino
881-44-8050,29/11/2021,Rifornimento
751-62-5360,15/8/2021,Accoglienza
343-99-3304,24/9/2022,Rifornimento
810-12-6306,22/7/2021,Riordino
491-98-0175,19/2/2021,Accoglienza
309-55-8123,4/10/2022,Rifornimento
877-20-7424,21/12/2021,Rifornimento
784-24-8313,21/6/2021,Accoglienza
534-74-1640,24/7/2022,Rifornimento
433-56-1685,14/12/2021,Rifornimento
889-52-1120,28/2/2022,Riordino
599-98-8480,10/9/2022,Accoglienza
131-01-6723,5/5/2022,Riordino
432-72-7265,6/3/2021,Accoglienza
867-72-9368,10/5/2021,Rifornimento
544-31-9668,10/1/2022,Riordino
432-84-9053,15/4/2022,Riordino
594-43-8402,6/11/2021,Rifornimento
782-03-1555,21/11/2021,Accoglienza
622-92-2826,19/6/2021,Accoglienza
593-04-7122,10/3/2021,Riordino
316-66-6642,20/3/2022,Riordino
591-98-6710,30/9/2021,Riordino
122-27-1680,30/1/2022,Rifornimento
753-92-9992,8/6/2022,Accoglienza
880-35-1306,5/5/2021,Accoglienza
164-68-1325,23/6/2022,Rifornimento
321-86-6917,20/5/2021,Accoglienza
827-59-5617,29/4/2021,Rifornimento
692-33-7007,6/8/2022,Rifornimento
634-70-0127,1/2/2022,Riordino
627-73-3119,12/4/2022,Rifornimento
365-96-7366,13/11/2021,Rifornimento
490-67-7295,22/1/2022,Rifornimento
289-46-8677,25/6/2021,Accoglienza
553-71-8412,22/6/2022,Riordino
202-66-2839,10/5/2021,Rifornimento
398-97-1928,13/1/2022,Accoglienza
418-27-2425,27/4/2021,Rifornimento
129-70-9974,29/4/2021,Accoglienza
414-69-0067,25/9/2021,Riordino
556-20-6158,3/7/2022,Riordino
378-42-3025,30/1/2022,Rifornimento
866-63-2228,2/9/2022,Rifornimento
540-71-9846,7/9/2022,Riordino
897-32-5821,8/11/2021,Accoglienza
580-48-5304,16/7/2021,Rifornimento
451-82-4096,9/2/2022,Accoglienza
840-23-3858,9/6/2022,Riordino
581-20-0248,29/4/2021,Accoglienza
841-62-4285,22/7/2022,Rifornimento
598-84-2863,10/3/2021,Rifornimento
614-82-7275,4/2/2022,Rifornimento
