codicefiscale,veicolo,associazione
815-91-3551,Sideki,Oodoo
794-98-2498,S8,Ooba
670-92-3641,Avalan,Quinu
673-76-5238,LeMans,Buzzdog
305-37-4392,Aerost,Shuffletag
549-04-1243,Chevet,Thoughtstorm
599-27-5014,Explor,Trudoo
286-77-5133,X5,Kwimbee
684-98-2101,SJ,Riffpedia
550-22-2523,Prelud,Skipstorm
845-12-7389,Contin,Topiclounge
723-34-0361,CL65 A,Quatz
798-16-0847,Thunde,Yambee
176-24-3674,Cayenn,Feedfish
413-54-5603,F150,Zooveo
391-36-8064,Silver,Divape
574-68-1313,Courie,Wordpedia
406-10-2238,Corvet,Skyba
241-49-4556,Stario,Riffpedia
190-35-1710,Colt V,Plambee
198-30-8087,Azure,Gabcube
721-96-5052,Sunfir,Oyondu
206-25-3136,MX-5,Brightdog
382-81-3047,Chario,Twitterworks
700-76-7626,Forest,Skidoo
356-88-5300,Aveo,Yata
152-89-8565,Capric,Twitternation
277-79-8525,Sienna,Jaxspan
553-44-1861,NSX,Livefish
210-65-1036,CL-Cla,Gabspot
561-74-9308,CX-9,Bluejam
419-24-3253,911,Browsezoom
286-32-7633,Celica,Linklinks
246-37-9688,RSX,Topiclounge
732-36-9004,Ram 25,Lajo
569-74-4170,A6,Avavee
118-84-2246,3 Seri,Pixope
258-86-2540,TT,Jamia
622-33-9001,E350,Meedoo
338-01-3387,Proteg,Twinder
735-51-4274,928,Wordtune
350-18-9287,Tucson,Livefish
675-31-8177,LeSabr,Buzzbean
495-43-6967,V70,Tanoodle
711-63-0503,GL-Cla,DabZ
329-25-7239,Mark L,Flashpoint
815-20-4120,900,Yakijo
881-44-8050,GTI,Yata
751-62-5360,Santa ,Photofeed
343-99-3304,Skylar,Babbleblab
810-12-6306,Altima,Livetube
491-98-0175,Jetta,Quinu
309-55-8123,Contin,Trupe
877-20-7424,Econol,Skilith
784-24-8313,Expres,Jetpulse
534-74-1640,626,Gabtune
433-56-1685,Taurus,Devpoint
889-52-1120,tC,Blogpad
599-98-8480,S-Clas,Miboo
131-01-6723,RX-7,Wikibox
432-72-7265,Stario,Trilia
867-72-9368,Celica,Youopia
544-31-9668,F-Seri,Fliptune
432-84-9053,Vandur,LiveZ
594-43-8402,Pajero,Tanoodle
782-03-1555,M3,Leenti
622-92-2826,Silhou,Voonyx
593-04-7122,DeVill,Oyope
316-66-6642,Cougar,Zazio
591-98-6710,Safari,Talane
122-27-1680,Range ,Skyndu
753-92-9992,RX Hyb,Skynoodle
880-35-1306,Grand ,Yakijo
164-68-1325,F450,Oyondu
321-86-6917,Monte ,Kayveo
827-59-5617,Grand ,Gabtune
692-33-7007,Prowle,Eamia
634-70-0127,GTO,Abata
627-73-3119,Quattr,Youtags
365-96-7366,Summit,Tazzy
490-67-7295,Accord,Topicware
289-46-8677,Bronco,Centimia
553-71-8412,Outlan,Digitube
202-66-2839,Ram 15,Fivespan
398-97-1928,ZX2,Thoughtsphere
418-27-2425,XC90,Voonte
129-70-9974,Monte ,Quaxo
414-69-0067,Explor,Fivespan
556-20-6158,F350,Yodo
378-42-3025,4Runne,Muxo
866-63-2228,Accent,Photolist
540-71-9846,GTO,Zooveo
897-32-5821,928,Bubbletube
580-48-5304,Biturb,Shuffletag
451-82-4096,XJ Ser,Brainsphere
840-23-3858,F450,Youspan
581-20-0248,Touare,Oba
841-62-4285,Fusion,Plajo
598-84-2863,Imprez,Yata
614-82-7275,Avanti,Demimbu
